embodiment,group,role,D,D_eff_ambient,n_samples,PR,pc90,pc95,pc99,twonn,twonn_std,mle,corrdim,corrdim_r2,corrdim_short,tube_slope,tube_r2,tail_slope,d_occ,occ_1x,occ_2x,occ_4x,occ_res,r_med,null_p,occ_real_at_null,deficit_log10
bridge,eef_position,other,48,48,90436,14.8606,19,26,40,15.3578,0.0700474,12.9351,4.22047,0.991406,6.39447,8.78593,0.848868,21.8944,39.2141,0,0.91002,1,1e-05,3.52957,0.01,0.03948,0.596377
bridge,eef_rotation,other,48,48,90436,26.4273,32,39,46,19.0319,0.163209,14.0533,4.68149,0.990809,6.6317,8.88517,0.849046,22.163,39.1148,0.00012,0.99848,1,1e-05,4.02664,0.01,0.03337,0.523356
bridge,gripper,other,16,16,90436,2.62826,4,6,12,nan,nan,7.99954,2.22628,0.977733,0.148886,nan,nan,12.4411,nan,0,0,0,1e-05,5.96046e-08,0.01,0.00035,-1.45593
bridge,eef_posrot,arm,96,96,90436,35.3104,48,60,81,19.5248,0.0818677,15.0478,5.5716,0.990783,8.01612,12.8379,0.841797,33.3778,83.1621,0,1,1,1e-05,6.40549,0.01,0.17524,1.24363
bridge,all_trained,other,112,112,90436,32.3989,51,66,92,14.4861,0.150583,8.61922,5.9526,0.993525,8.4558,14.5937,0.839713,38.1201,97.4063,0,0.99999,1,1e-05,6.7189,0.01,0.18347,1.26357
robocasa_mg,base_motion,other,64,0,41826,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
robocasa_mg,control_mode,other,16,0,41826,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
robocasa_mg,eef_position,other,48,48,41826,4.0589,5,8,24,8.6385,0.124909,8.21903,2.3347,0.985111,4.58914,8.46332,0.852301,20.4108,39.5367,0,0,0.74227,1e-05,1.67578,0.01,0.06365,0.803798
robocasa_mg,eef_rotation,other,48,48,41826,5.05587,11,26,43,18.9531,0.293759,12.268,3.01657,0.937257,6.97703,8.46243,0.847124,21.1708,39.5376,0,0.20538,1,1e-05,2.72923,0.01,0.04487,0.651956
robocasa_mg,gripper_close,other,16,16,41826,1.12396,1,2,4,nan,nan,nan,2.44741,0.905544,2.71413,nan,nan,12.2904,nan,0,0,0,1e-05,8.42937e-08,0.01,7e-05,-2.1549
