embodiment,group,role,D,D_eff_ambient,n_samples,PR,pc90,pc95,pc99,twonn,twonn_std,mle,corrdim,corrdim_r2,corrdim_short,tube_slope,tube_r2,tail_slope,d_occ,occ_1x,occ_2x,occ_4x,occ_res,r_med,null_p,occ_real_at_null,deficit_log10
bridge,eef_position,other,3,3,1000000,2.99051,3,3,3,3.03228,0.0441275,3.03448,1.57715,0.994077,2.09089,0.850666,0.8919,2.73163,2.14933,0.25997,0.67785,0.9577,1e-05,0.0689971,0.01,0.01068,0.0285713
bridge,eef_rotation,other,3,3,1000000,2.99617,3,3,3,3.05522,0.0388789,3.05054,1.80034,0.994067,2.40849,0.7799,0.899708,2.83256,2.2201,0.24976,0.62839,0.91959,1e-05,0.0634021,0.01,0.01011,0.00475116
bridge,gripper,other,1,1,1000000,1,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
bridge,eef_posrot,arm,6,6,1000000,5.50691,5,6,6,5.75015,0.0451375,5.46096,2.1326,0.99444,2.85822,1.64295,0.894123,4.8671,4.35705,0.12566,0.705,0.99526,1e-05,0.41578,0.01,0.00969,-0.0136762
bridge,all_trained,other,7,7,1000000,6.49134,6,7,7,5.70524,0.086654,5.31648,2.61416,0.995885,2.70338,2.42808,0.904744,5.46941,4.57192,0.02886,0.41633,0.98318,1e-05,0.461002,0.01,0.00871,-0.0599818
robocasa_mg,base_motion,other,4,0,687211,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
robocasa_mg,control_mode,other,1,0,687211,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
robocasa_mg,eef_position,other,3,3,687211,2.88706,3,3,3,2.87849,0.0318687,2.86765,1.82313,0.993222,2.52435,0.749395,0.874782,2.95228,2.2506,0.29391,0.71186,0.94985,1e-05,0.0701632,0.01,0.01027,0.0115704
robocasa_mg,eef_rotation,other,3,3,687211,2.9523,3,3,3,2.93894,0.0266388,3.02853,1.86143,0.989012,2.63579,0.840702,0.923023,2.93098,2.1593,0.20936,0.54152,0.87831,1e-05,0.0572214,0.01,0.01041,0.0174507
robocasa_mg,gripper_close,other,1,1,687211,1,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01,nan,nan
robocasa_mg,eef_posrot,arm,6,6,687211,5.60369,6,6,6,5.62081,0.0509067,5.51144,2.34613,0.988267,3.88,1.55145,0.898288,5.03547,4.44855,0.13631,0.69674,0.99375,1e-05,0.413271,0.01,0.01157,0.0633334
robocasa_mg,all_trained,other,12,7,687211,6.56278,6,7,7,5.49681,0.058372,5.35907,2.68639,0.997209,3.48721,2.3262,0.911204,5.41885,4.6738,0.0311,0.39393,0.97772,1e-05,0.455892,0.01,0.01077,0.0322157
gr1_tabletop,arm,arm,14,14,600508,7.98754,9,11,13,5.18701,0.0450667,4.69136,3.51441,0.993401,5.14695,4.01298,0.866969,9.58339,9.98702,2e-05,0.03447,0.85571,1e-05,0.779657,0.01,0.00945,-0.0245682
gr1_tabletop,hand,dexterous,12,11,600508,2.29967,2,3,3,nan,nan,nan,nan,nan,nan,nan,nan,8.54097,nan,nan,nan,nan,1e-05,nan,0.01,9e-05,-2.04576
gr1_tabletop,waist,other,3,3,600508,2.96086,3,3,3,2.99732,0.0412079,2.94848,1.0953,0.985924,1.91149,1.35777,0.97581,2.41332,1.64223,0.02956,0.11914,0.32794,1e-05,0.0282738,0.01,0.00888,-0.051587
gr1_tabletop,all_trained,other,29,28,600508,8.283,12,15,18,5.06043,0.0425283,4.35147,2.79738,0.992968,4.30228,6.69656,0.866251,15.2618,21.3034,0,0,0.02879,1e-05,0.892678,0.01,0.0061,-0.21467
gr1_unified_1000,arm,arm,14,14,2000000,7.96942,9,11,13,5.34209,0.0406724,4.72871,3.53298,0.993299,5.23635,4.01359,0.867277,9.6117,9.98641,5e-05,0.04287,0.88273,1e-05,0.799724,0.01,0.00893,-0.0491485
gr1_unified_1000,hand,dexterous,12,11,2000000,2.30135,2,3,3,nan,nan,nan,nan,nan,nan,nan,nan,8.53576,nan,nan,nan,nan,1e-05,nan,0.01,9e-05,-2.04576
gr1_unified_1000,waist,other,3,3,2000000,2.93316,3,3,3,3.01108,0.0276142,2.94244,1.10738,0.986502,1.87246,1.37776,0.975938,2.4611,1.62224,0.0301,0.1236,0.34516,1e-05,0.0288418,0.01,0.00802,-0.0958256
gr1_unified_1000,all_trained,other,29,28,2000000,8.29283,12,15,18,5.14271,0.0379035,4.37537,2.80009,0.992992,4.35284,6.68842,0.865668,15.1099,21.3116,0,0,0.03712,1e-05,0.909689,0.01,0.00622,-0.20621
dexjoco_single,arm_pos,other,3,3,218993,2.6887,3,3,3,2.80675,0,2.7895,2.03679,0.998938,2.44241,0.746911,0.841171,2.90307,2.25309,0.22811,0.64091,0.88248,1e-05,0.0777264,0.01,0.00979,-0.00921731
dexjoco_single,arm_rot,other,3,3,218993,2.74345,3,3,3,2.93523,0,2.84615,1.53384,0.996481,2.0767,1.0148,0.979449,2.66968,1.9852,0.04948,0.14543,0.29357,1e-05,0.0463808,0.01,0.00936,-0.0287242
dexjoco_single,arm_posrot,arm,6,6,218993,4.66367,5,6,6,4.56803,0,3.9314,2.49699,0.998187,3.02279,2.04736,0.921362,4.81785,3.95264,0.01231,0.17038,0.71706,1e-05,0.30507,0.01,0.00764,-0.116907
dexjoco_single,hand,dexterous,16,16,218993,3.44301,7,9,13,3.71732,0,4.02698,2.77901,0.998526,2.96628,6.05442,0.94553,10.4471,9.94558,0,0,0.00895,1e-05,0.47543,0.01,0.00496,-0.304518
dexjoco_single,all_trained,other,22,22,218993,5.58316,11,14,18,5.08705,0,5.22795,3.98618,0.997112,3.61188,6.11457,0.862974,13.5597,15.8854,0,2e-05,0.41496,1e-05,0.970582,0.01,0.00613,-0.21254
dexjoco_dual,right_arm,other,6,6,304770,4.52125,5,5,6,3.91463,0.0264192,3.52637,2.38123,0.998591,2.58572,2.18511,0.942848,4.52866,3.81489,0.00237,0.05247,0.34519,1e-05,0.212694,0.01,0.00646,-0.189767
dexjoco_dual,left_arm,other,6,6,304770,4.75465,5,6,6,3.42233,0.0109117,3.26912,2.57084,0.998884,2.60827,2.37111,0.954733,4.48014,3.62889,0.00151,0.03435,0.27677,1e-05,0.195243,0.01,0.00648,-0.188425
dexjoco_dual,arm,arm,12,12,304770,7.62223,8,10,12,4.31283,0.038569,4.527,3.38735,0.999328,3.09515,3.94774,0.889963,8.29623,8.05226,0,0.00267,0.32363,1e-05,0.516232,0.01,0.00476,-0.322393
dexjoco_dual,right_hand,other,16,16,304770,3.90008,6,7,11,2.76877,0.0270286,2.22731,2.25879,0.992688,0.131669,nan,nan,10.3677,nan,0,0,0,1e-05,0.11421,0.01,0.0019,-0.721246
dexjoco_dual,left_hand,other,16,16,304770,3.48355,5,8,13,2.78607,0.0101076,1.55912,2.01953,0.999967,2.34936,nan,nan,11.0033,nan,0,0,0,1e-05,0.0805055,0.01,0.00181,-0.742321
dexjoco_dual,hand,dexterous,32,32,304770,6.54086,9,14,23,2.85038,0.0145008,1.91885,3.37449,0.973837,1.8289,nan,nan,18.7769,nan,0,0,0,1e-05,0.311055,0.01,0.00325,-0.488117
dexjoco_dual,all_trained,other,44,44,304770,9.13323,15,22,33,3.19222,0.0187944,3.71876,4.26174,0.979693,2.6409,10.9161,0.886007,24.153,33.0839,0,0,1e-05,1e-05,0.991755,0.01,0.00332,-0.478862
